X_COORD,Y_COORD,SOFT_BIN,HARD_BIN,SITE_NUM,PART_ID,SourceFile
54,124,37,8,12,174,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,124,1,1,13,175,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,124,1,1,14,176,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,124,37,8,15,177,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
58,124,1,1,12,178,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
59,124,37,8,13,179,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
60,124,37,8,14,180,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
61,124,37,8,15,181,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
67,117,37,8,12,182,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
68,117,37,8,13,183,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
63,119,1,1,8,184,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
64,119,1,1,9,185,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
65,119,37,8,10,186,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
66,119,1,1,11,187,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
63,117,37,8,12,188,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
64,117,1,1,13,189,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
65,117,1,1,14,190,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
66,117,1,1,15,191,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
59,123,37,8,0,192,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
60,123,1,1,1,193,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
61,123,37,8,2,194,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
62,123,37,8,3,195,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
59,121,37,8,4,196,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
60,121,1,1,5,197,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
61,121,1,1,6,198,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
62,121,1,1,7,199,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
59,119,1,1,8,200,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
60,119,1,1,9,201,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
61,119,1,1,10,202,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
62,119,1,1,11,203,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
59,117,1,1,12,204,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
60,117,1,1,13,205,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
61,117,1,1,14,206,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
62,117,37,8,15,207,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,123,37,8,0,208,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,123,1,1,1,209,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,123,1,1,2,210,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
58,123,37,8,3,211,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,121,1,1,4,212,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,121,37,8,5,213,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,121,1,1,6,214,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
58,121,37,8,7,215,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,119,1,1,8,216,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,119,1,1,9,217,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,119,37,8,10,218,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
58,119,1,1,11,219,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
55,117,1,1,12,220,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
56,117,1,1,13,221,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
57,117,1,1,14,222,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
58,117,1,1,15,223,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,123,1,1,0,224,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,123,37,8,1,225,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,123,1,1,2,226,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,123,37,8,3,227,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,121,1,1,4,228,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,121,1,1,5,229,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,121,1,1,6,230,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,119,1,1,8,231,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,119,1,1,9,232,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,119,1,1,10,233,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,119,1,1,11,234,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
51,117,1,1,12,235,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
52,117,1,1,13,236,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
53,117,1,1,14,237,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
54,117,1,1,15,238,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,123,1,1,0,239,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,123,1,1,1,240,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,123,37,8,2,241,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,123,37,8,3,242,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,121,1,1,4,243,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,121,1,1,5,244,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,121,37,8,6,245,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,121,1,1,7,246,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,119,1,1,8,247,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,119,1,1,9,248,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,119,1,1,10,249,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,119,1,1,11,250,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
47,117,1,1,12,251,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
48,117,1,1,13,252,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
49,117,1,1,14,253,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
50,117,1,1,15,254,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,123,37,8,0,255,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,123,1,1,1,256,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,123,1,1,2,257,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,123,1,1,3,258,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,121,1,1,4,259,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,121,1,1,5,260,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,121,1,1,7,261,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,119,1,1,8,262,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,119,1,1,9,263,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,119,1,1,10,264,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,119,1,1,11,265,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
43,117,1,1,12,266,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
44,117,1,1,13,267,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
45,117,37,8,14,268,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
46,117,1,1,15,269,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,123,37,8,0,270,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,123,1,1,1,271,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,123,37,8,2,272,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,123,37,8,3,273,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,121,37,8,4,274,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,121,37,8,5,275,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,121,1,1,6,276,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,121,1,1,7,277,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,119,1,1,8,278,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,119,1,1,9,279,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,119,1,1,10,280,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,119,1,1,11,281,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
39,117,1,1,12,282,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
40,117,1,1,13,283,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
41,117,1,1,14,284,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
42,117,37,8,15,285,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
35,123,1,1,0,286,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
36,123,1,1,1,287,ZA530362_003_S11P_20250818003721_M5116B16P03_WFTB33-01.std
